data;

/*Turnos*/
set S :=
    N E L
    ;

/*Turnos Noturnos*/
param isNightS :=
    N  1
    E  0
    L  0
    ;

/*Contratos*/
set C :=
    C0 C1 C2
    ;

param nWE := 
     C2   4
     C1   4
     C0   4
    ;

/*Enfermeiros*/
set N :=
    N0 N1 N2 N3 N4 N5 N6 N7 N8 N9
    ;

/*Turnos compatíveis com a enfermeira*/
set NS[N3] :=
    L E N
    ;

set NS[N2] :=
    L E N
    ;

set NS[N1] :=
    L E N
    ;

set NS[N0] :=
    L E N
    ;

set NS[N7] :=
    L E N
    ;

set NS[N6] :=
    L E N
    ;

set NS[N5] :=
    L E N
    ;

set NS[N4] :=
    L E N
    ;

set NS[N9] :=
    L E N
    ;

set NS[N8] :=
    L E N
    ;

/*Dias requisitados para não trabalhar*/
param nx :=
    [N3,L,13]    1
    [N3,E,13]    1
    [N3,N,13]    1
    [N3,L,2]    1
    [N3,E,2]    1
    [N3,N,2]    1
    [N3,L,22]    2
    [N3,E,22]    1
    [N3,N,22]    1
    [N3,L,25]    1
    [N3,E,25]    1
    [N3,N,25]    1
    [N3,L,28]    1
    [N3,E,28]    1
    [N3,N,28]    1
    [N3,L,26]    1
    [N3,E,26]    1
    [N3,N,26]    1
    [N3,L,4]    1
    [N3,E,4]    1
    [N3,N,4]    1
    [N3,L,12]    1
    [N3,E,12]    1
    [N3,N,12]    1
    [N3,L,18]    1
    [N3,E,18]    1
    [N3,N,18]    1
    [N3,L,19]    1
    [N3,E,19]    1
    [N3,N,19]    1
    [N2,L,11]    1
    [N2,E,11]    1
    [N2,N,11]    1
    [N2,L,2]    1
    [N2,E,2]    1
    [N2,N,2]    1
    [N2,L,3]    1
    [N2,E,3]    1
    [N2,N,3]    1
    [N2,L,24]    1
    [N2,E,24]    1
    [N2,N,24]    1
    [N2,L,20]    1
    [N2,E,20]    1
    [N2,N,20]    1
    [N2,L,1]    1
    [N2,E,1]    1
    [N2,N,1]    1
    [N2,L,17]    1
    [N2,E,17]    1
    [N2,N,17]    1
    [N2,L,8]    1
    [N2,E,8]    1
    [N2,N,8]    1
    [N2,L,22]    1
    [N2,E,22]    1
    [N2,N,22]    2
    [N2,L,14]    1
    [N2,E,14]    1
    [N2,N,14]    1
    [N1,L,16]    1
    [N1,E,16]    1
    [N1,N,16]    1
    [N1,L,2]    1
    [N1,E,2]    1
    [N1,N,2]    1
    [N1,L,14]    1
    [N1,E,14]    2
    [N1,N,14]    2
    [N1,L,11]    1
    [N1,E,11]    1
    [N1,N,11]    1
    [N1,L,7]    1
    [N1,E,7]    1
    [N1,N,7]    1
    [N1,L,4]    1
    [N1,E,4]    1
    [N1,N,4]    1
    [N1,L,3]    2
    [N1,E,3]    1
    [N1,N,3]    1
    [N1,L,5]    1
    [N1,E,5]    1
    [N1,N,5]    1
    [N1,L,22]    1
    [N1,E,22]    1
    [N1,N,22]    2
    [N1,L,12]    1
    [N1,E,12]    1
    [N1,N,12]    1
    [N0,L,7]    1
    [N0,E,7]    1
    [N0,N,7]    1
    [N0,L,1]    1
    [N0,E,1]    1
    [N0,N,1]    1
    [N0,L,23]    1
    [N0,E,23]    1
    [N0,N,23]    1
    [N0,L,25]    1
    [N0,E,25]    1
    [N0,N,25]    1
    [N0,L,12]    1
    [N0,E,12]    1
    [N0,N,12]    1
    [N0,L,4]    1
    [N0,E,4]    1
    [N0,N,4]    1
    [N0,L,17]    1
    [N0,E,17]    2
    [N0,N,17]    1
    [N0,L,10]    1
    [N0,E,10]    1
    [N0,N,10]    1
    [N0,L,27]    1
    [N0,E,27]    1
    [N0,N,27]    1
    [N0,L,18]    1
    [N0,E,18]    1
    [N0,N,18]    1
    [N7,L,25]    1
    [N7,E,25]    1
    [N7,N,25]    1
    [N7,L,24]    1
    [N7,E,24]    1
    [N7,N,24]    1
    [N7,L,10]    1
    [N7,E,10]    1
    [N7,N,10]    1
    [N7,L,5]    2
    [N7,E,5]    1
    [N7,N,5]    1
    [N7,L,11]    1
    [N7,E,11]    1
    [N7,N,11]    1
    [N7,L,21]    1
    [N7,E,21]    1
    [N7,N,21]    1
    [N7,L,7]    1
    [N7,E,7]    1
    [N7,N,7]    1
    [N7,L,19]    1
    [N7,E,19]    1
    [N7,N,19]    2
    [N7,L,9]    1
    [N7,E,9]    1
    [N7,N,9]    1
    [N7,L,18]    1
    [N7,E,18]    1
    [N7,N,18]    1
    [N6,L,25]    1
    [N6,E,25]    1
    [N6,N,25]    2
    [N6,L,28]    1
    [N6,E,28]    1
    [N6,N,28]    1
    [N6,L,1]    1
    [N6,E,1]    1
    [N6,N,1]    1
    [N6,L,6]    1
    [N6,E,6]    1
    [N6,N,6]    1
    [N6,L,3]    1
    [N6,E,3]    1
    [N6,N,3]    1
    [N6,L,18]    1
    [N6,E,18]    1
    [N6,N,18]    1
    [N6,L,5]    2
    [N6,E,5]    1
    [N6,N,5]    2
    [N6,L,2]    1
    [N6,E,2]    1
    [N6,N,2]    1
    [N6,L,11]    1
    [N6,E,11]    1
    [N6,N,11]    1
    [N6,L,26]    1
    [N6,E,26]    1
    [N6,N,26]    1
    [N5,L,15]    1
    [N5,E,15]    1
    [N5,N,15]    1
    [N5,L,2]    1
    [N5,E,2]    1
    [N5,N,2]    1
    [N5,L,23]    1
    [N5,E,23]    1
    [N5,N,23]    1
    [N5,L,3]    1
    [N5,E,3]    1
    [N5,N,3]    1
    [N5,L,18]    1
    [N5,E,18]    1
    [N5,N,18]    1
    [N5,L,28]    1
    [N5,E,28]    1
    [N5,N,28]    1
    [N5,L,12]    1
    [N5,E,12]    1
    [N5,N,12]    1
    [N5,L,26]    1
    [N5,E,26]    1
    [N5,N,26]    1
    [N5,L,6]    1
    [N5,E,6]    1
    [N5,N,6]    1
    [N5,L,4]    1
    [N5,E,4]    1
    [N5,N,4]    1
    [N4,L,2]    1
    [N4,E,2]    1
    [N4,N,2]    1
    [N4,L,28]    1
    [N4,E,28]    1
    [N4,N,28]    1
    [N4,L,19]    2
    [N4,E,19]    1
    [N4,N,19]    1
    [N4,L,15]    1
    [N4,E,15]    1
    [N4,N,15]    1
    [N4,L,11]    1
    [N4,E,11]    1
    [N4,N,11]    1
    [N4,L,21]    1
    [N4,E,21]    2
    [N4,N,21]    1
    [N4,L,4]    1
    [N4,E,4]    1
    [N4,N,4]    1
    [N4,L,20]    1
    [N4,E,20]    1
    [N4,N,20]    1
    [N4,L,6]    1
    [N4,E,6]    1
    [N4,N,6]    1
    [N4,L,5]    1
    [N4,E,5]    1
    [N4,N,5]    1
    [N9,L,6]    1
    [N9,E,6]    1
    [N9,N,6]    1
    [N9,L,27]    1
    [N9,E,27]    1
    [N9,N,27]    1
    [N9,L,28]    1
    [N9,E,28]    2
    [N9,N,28]    1
    [N9,L,2]    1
    [N9,E,2]    1
    [N9,N,2]    1
    [N9,L,26]    1
    [N9,E,26]    1
    [N9,N,26]    1
    [N9,L,15]    1
    [N9,E,15]    1
    [N9,N,15]    1
    [N9,L,9]    1
    [N9,E,9]    2
    [N9,N,9]    1
    [N9,L,19]    1
    [N9,E,19]    1
    [N9,N,19]    1
    [N9,L,24]    1
    [N9,E,24]    1
    [N9,N,24]    1
    [N9,L,17]    1
    [N9,E,17]    1
    [N9,N,17]    1
    [N8,L,15]    1
    [N8,E,15]    2
    [N8,N,15]    1
    [N8,L,13]    1
    [N8,E,13]    1
    [N8,N,13]    1
    [N8,L,12]    1
    [N8,E,12]    1
    [N8,N,12]    2
    [N8,L,9]    1
    [N8,E,9]    1
    [N8,N,9]    1
    [N8,L,20]    1
    [N8,E,20]    1
    [N8,N,20]    1
    [N8,L,1]    1
    [N8,E,1]    1
    [N8,N,1]    1
    [N8,L,18]    1
    [N8,E,18]    1
    [N8,N,18]    1
    [N8,L,3]    1
    [N8,E,3]    1
    [N8,N,3]    1
    [N8,L,5]    1
    [N8,E,5]    1
    [N8,N,5]    1
    [N8,L,11]    1
    [N8,E,11]    1
    [N8,N,11]    1
    [N3,N,21]    1
    [N3,E,20]    1
    [N3,L,8]    1
    [N3,E,7]    1
    [N2,E,27]    1
    [N2,L,16]    1
    [N2,L,23]    1
    [N2,E,6]    1
    [N1,E,17]    1
    [N0,N,16]    1
    [N0,L,5]    1
    [N0,E,15]    1
    [N0,L,15]    1
    [N7,N,13]    1
    [N7,E,23]    1
    [N7,L,3]    1
    [N6,E,13]    1
    [N6,N,22]    1
    [N5,L,5]    1
    [N5,E,8]    1
